"Reference";""
"Identification";""
"Material";""
"Extensometer to crosshead transition";0.00;"mm"
"Specimen geometry";"flat"
"Cross-sectional area = So"
"Extensometer gauge length = Le"
"Extensometer output in mm"
"Parallel length = Lc"
"Data acquisition rate 50 Hz"
"Data row for start force reduction (Hysteresis) = Hs"
"Data row for end force reduction (Hysteresis) = He"
"Data row for switch to crosshead = Cs"
"File length N data rows"
"File width M data columns"
"So";90;"mm2"
"Le";50;"mm"
"Lc";319.582;"mm"
"N";3047
"M";4
"Hs";0
"He";0
"Cs";0
"time";"crosshead";"extensometer";"force"
"s";"mm";"mm";"kN"
-2.288816e-007;-2.299098e-007;-5.716174e-010; 4.938428e-002
 1.999977e-002;-3.958869e-007;-1.665487e-007; 4.933147e-002
 3.999977e-002;-7.832628e-006;-7.603291e-006; 4.928854e-002
 5.999977e-002;-1.527648e-005;-1.504714e-005; 4.924562e-002
 7.999977e-002;-2.272033e-005;-2.249099e-005; 4.920271e-002
 9.999977e-002;-3.016418e-005;-2.993484e-005; 4.915979e-002
 1.199998e-001;-3.760802e-005;-3.737869e-005; 4.911687e-002
 1.399998e-001;-4.505184e-005;-4.482250e-005; 4.908085e-002
 1.599998e-001;-5.249562e-005;-5.226628e-005; 4.905174e-002
 1.799998e-001;-5.993940e-005;-5.971007e-005; 4.902262e-002
 1.999998e-001;-6.738319e-005;-6.715385e-005; 4.899351e-002
 2.199998e-001;-7.482697e-005;-7.459764e-005; 4.896440e-002
 2.399998e-001;-8.227112e-005;-8.204178e-005; 4.893529e-002
 2.599998e-001;-9.045534e-005;-9.022600e-005; 4.890915e-002
 2.799998e-001;-9.863956e-005;-9.841022e-005; 4.888300e-002
 2.999998e-001;-1.068238e-004;-1.065944e-004; 4.885686e-002
 3.199998e-001;-1.150080e-004;-1.147787e-004; 4.883072e-002
 3.399998e-001;-1.231922e-004;-1.229629e-004; 4.880457e-002
 3.599998e-001;-1.157693e-004;-1.155400e-004; 4.878876e-002
 3.799998e-001;-1.083255e-004;-1.080962e-004; 4.877296e-002
 3.999998e-001;-1.008816e-004;-1.006523e-004; 4.875716e-002
 4.199998e-001;-9.343780e-005;-9.320846e-005; 4.874136e-002
 4.399998e-001;-8.599395e-005;-8.576461e-005; 4.872556e-002
 4.599998e-001;-5.624778e-005;-5.601844e-005; 4.872684e-002
 4.799998e-001;-4.144809e-006;-3.915471e-006; 4.874524e-002
 4.999998e-001; 4.795816e-005; 4.818750e-005; 4.876364e-002
 5.199997e-001; 1.000611e-004; 1.002905e-004; 4.878204e-002
 5.399998e-001; 1.521641e-004; 1.523934e-004; 4.880043e-002
 5.599998e-001; 2.042797e-004; 2.045091e-004; 4.881885e-002
 5.799997e-001; 3.597828e-004; 3.600121e-004; 4.893897e-002
 5.999998e-001; 5.152859e-004; 5.155152e-004; 4.905909e-002
 6.199998e-001; 6.707890e-004; 6.710183e-004; 4.917921e-002
 6.399997e-001; 8.262920e-004; 8.265214e-004; 4.929934e-002
 6.599998e-001; 9.817951e-004; 9.820245e-004; 4.941946e-002
 6.799998e-001; 1.115676e-003; 1.115905e-003; 4.951185e-002
 6.999997e-001; 1.249519e-003; 1.249748e-003; 4.960419e-002
 7.199998e-001; 1.383362e-003; 1.383592e-003; 4.969653e-002
 7.399998e-001; 1.517206e-003; 1.517435e-003; 4.978887e-002
 7.599998e-001; 1.651049e-003; 1.651279e-003; 4.988121e-002
 7.799998e-001; 1.794795e-003; 1.795024e-003; 4.999495e-002
 7.999998e-001; 1.948480e-003; 1.948709e-003; 5.013015e-002
 8.199998e-001; 2.102166e-003; 2.102395e-003; 5.026536e-002
 8.399998e-001; 2.255851e-003; 2.256081e-003; 5.040057e-002
 8.599998e-001; 2.441862e-003; 2.442091e-003; 5.054331e-002
 8.799998e-001; 2.660041e-003; 2.660270e-003; 5.069355e-002
 8.999998e-001; 2.860993e-003; 2.861222e-003; 5.082736e-002
 9.199998e-001; 3.061942e-003; 3.062171e-003; 5.096117e-002
 9.399998e-001; 3.262891e-003; 3.263120e-003; 5.109497e-002
 9.599998e-001; 3.463839e-003; 3.464068e-003; 5.122878e-002
 9.799998e-001; 3.664788e-003; 3.665017e-003; 5.136259e-002
 9.999998e-001; 3.888188e-003; 3.888417e-003; 5.150511e-002
 1.020000e+000; 4.174011e-003; 4.174240e-003; 5.166511e-002
 1.040000e+000; 4.419800e-003; 4.420029e-003; 5.183305e-002
 1.060000e+000; 4.665549e-003; 4.665779e-003; 5.200101e-002
 1.080000e+000; 4.911299e-003; 4.911529e-003; 5.216896e-002
 1.100000e+000; 5.167258e-003; 5.167487e-003; 5.233440e-002
 1.120000e+000; 5.433479e-003; 5.433708e-003; 5.249734e-002
 1.140000e+000; 5.706897e-003; 5.707127e-003; 5.265971e-002
 1.160000e+000; 5.987521e-003; 5.987750e-003; 5.282152e-002
 1.180000e+000; 6.268144e-003; 6.268374e-003; 5.298334e-002
 1.200000e+000; 6.548767e-003; 6.548997e-003; 5.314515e-002
 1.220000e+000; 6.892517e-003; 6.892747e-003; 5.333229e-002
 1.240000e+000; 7.236306e-003; 7.236535e-003; 5.351944e-002
 1.260000e+000; 7.551575e-003; 7.551804e-003; 5.370100e-002
 1.280000e+000; 7.838325e-003; 7.838554e-003; 5.387695e-002
 1.300000e+000; 8.125074e-003; 8.125303e-003; 5.405290e-002
 1.320000e+000; 8.445848e-003; 8.446077e-003; 5.423292e-002
 1.340000e+000; 8.800630e-003; 8.800859e-003; 5.441701e-002
 1.360000e+000; 9.155410e-003; 9.155639e-003; 5.460110e-002
 1.380000e+000; 9.486062e-003; 9.486292e-003; 5.478046e-002
 1.400000e+000; 9.792607e-003; 9.792836e-003; 5.495509e-002
 1.420000e+000; 1.010462e-002; 1.010485e-002; 5.512621e-002
 1.440000e+000; 1.042213e-002; 1.042235e-002; 5.529378e-002
 1.460000e+000; 1.073964e-002; 1.073986e-002; 5.546135e-002
 1.480000e+000; 1.105714e-002; 1.105737e-002; 5.562893e-002
 1.500000e+000; 1.139313e-002; 1.139336e-002; 5.579450e-002
 1.520000e+000; 1.174755e-002; 1.174778e-002; 5.595808e-002
 1.540000e+000; 1.208424e-002; 1.208446e-002; 5.613055e-002
 1.560000e+000; 1.242090e-002; 1.242113e-002; 5.630304e-002
 1.580000e+000; 1.275757e-002; 1.275780e-002; 5.647552e-002
 1.600000e+000; 1.309424e-002; 1.309447e-002; 5.664800e-002
 1.620000e+000; 1.344648e-002; 1.344671e-002; 5.681496e-002
 1.640000e+000; 1.379425e-002; 1.379448e-002; 5.697753e-002
 1.660000e+000; 1.412202e-002; 1.412225e-002; 5.714119e-002
 1.680000e+000; 1.444385e-002; 1.444407e-002; 5.729946e-002
 1.700000e+000; 1.475975e-002; 1.475998e-002; 5.745234e-002
 1.720000e+000; 1.507566e-002; 1.507589e-002; 5.760523e-002
 1.740000e+000; 1.539158e-002; 1.539181e-002; 5.775812e-002
 1.760000e+000; 1.575165e-002; 1.575188e-002; 5.792212e-002
 1.780000e+000; 1.611173e-002; 1.611196e-002; 5.808613e-002
 1.800000e+000; 1.647180e-002; 1.647202e-002; 5.825013e-002
 1.820000e+000; 1.683187e-002; 1.683210e-002; 5.841413e-002
 1.840000e+000; 1.719194e-002; 1.719217e-002; 5.857813e-002
 1.860000e+000; 1.749242e-002; 1.749265e-002; 5.874627e-002
 1.880000e+000; 1.781653e-002; 1.781676e-002; 5.889902e-002
 1.900000e+000; 1.816431e-002; 1.816454e-002; 5.903638e-002
 1.920000e+000; 1.851209e-002; 1.851232e-002; 5.917374e-002
 1.940000e+000; 1.885987e-002; 1.886009e-002; 5.931110e-002
