"Reference";""
"Identification";""
"Material";""
"Extensometer to crosshead transition";0.00;"mm"
"Specimen geometry";"flat"
"Cross-sectional area = So"
"Extensometer gauge length = Le"
"Extensometer output in mm"
"Parallel length = Lc"
"Data acquisition rate 50 Hz"
"Data row for start force reduction (Hysteresis) = Hs"
"Data row for end force reduction (Hysteresis) = He"
"Data row for switch to crosshead = Cs"
"File length N data rows"
"File width M data columns"
"So";90;"mm2"
"Le";50;"mm"
"Lc";319.582;"mm"
"N";3048
"M";4
"Hs";0
"He";0
"Cs";0
"time";"crosshead";"extensometer";"force"
"s";"mm";"mm";"kN"
 0.000000e+000;-6.548861e-007;-8.648158e-010; 4.968204e-002
 2.000000e-002;-1.234958e-005;-1.169556e-005; 4.960898e-002
 4.000000e-002;-2.404428e-005;-2.339026e-005; 4.953592e-002
 6.000000e-002;-3.573897e-005;-3.508495e-005; 4.946286e-002
 8.000000e-002;-4.159060e-005;-4.093658e-005; 4.939606e-002
 1.000000e-001;-4.159060e-005;-4.093658e-005; 4.933555e-002
 1.200000e-001;-4.159060e-005;-4.093658e-005; 4.928120e-002
 1.400000e-001;-4.159060e-005;-4.093658e-005; 4.923301e-002
 1.600000e-001;-4.159060e-005;-4.093658e-005; 4.918481e-002
 1.800000e-001;-4.159360e-005;-4.093958e-005; 4.913662e-002
 2.000000e-001;-4.977775e-005;-4.912373e-005; 4.909435e-002
 2.200000e-001;-5.796189e-005;-5.730787e-005; 4.905207e-002
 2.400000e-001;-6.614604e-005;-6.549201e-005; 4.900981e-002
 2.600000e-001;-7.433019e-005;-7.367616e-005; 4.896754e-002
 2.800000e-001;-8.251433e-005;-8.186031e-005; 4.892527e-002
 3.000000e-001;-8.252632e-005;-8.187230e-005; 4.889089e-002
 3.200000e-001;-8.252632e-005;-8.187230e-005; 4.885652e-002
 3.400000e-001;-8.252632e-005;-8.187230e-005; 4.882215e-002
 3.600000e-001;-8.252632e-005;-8.187230e-005; 4.878778e-002
 3.800000e-001;-8.252632e-005;-8.187230e-005; 4.875341e-002
 4.000000e-001;-8.252632e-005;-8.187230e-005; 4.872302e-002
 4.200000e-001;-8.252632e-005;-8.187230e-005; 4.869661e-002
 4.400000e-001;-8.252632e-005;-8.187230e-005; 4.867019e-002
 4.600000e-001;-8.252632e-005;-8.187230e-005; 4.864378e-002
 4.800000e-001;-8.252632e-005;-8.187230e-005; 4.861736e-002
 5.000000e-001;-8.250632e-005;-8.185230e-005; 4.859097e-002
 5.200000e-001;-4.158998e-005;-4.093596e-005; 4.861315e-002
 5.400000e-001;-6.736376e-007;-1.961630e-008; 4.863534e-002
 5.600000e-001; 4.024270e-005; 4.089672e-005; 4.865752e-002
 5.800000e-001; 8.115904e-005; 8.181306e-005; 4.867971e-002
 6.000000e-001; 1.220754e-004; 1.227294e-004; 4.870189e-002
 6.200000e-001; 2.931078e-004; 2.937618e-004; 4.882730e-002
 6.400000e-001; 4.643151e-004; 4.649692e-004; 4.895285e-002
 6.600000e-001; 6.355225e-004; 6.361765e-004; 4.907840e-002
 6.800000e-001; 8.067298e-004; 8.073839e-004; 4.920395e-002
 7.000000e-001; 9.779371e-004; 9.785912e-004; 4.932950e-002
 7.200000e-001; 1.134223e-003; 1.134877e-003; 4.944740e-002
 7.400000e-001; 1.275551e-003; 1.276205e-003; 4.955763e-002
 7.600000e-001; 1.416879e-003; 1.417533e-003; 4.966787e-002
 7.800000e-001; 1.558207e-003; 1.558861e-003; 4.977810e-002
 8.000000e-001; 1.699534e-003; 1.700188e-003; 4.988833e-002
 8.200000e-001; 1.840863e-003; 1.841517e-003; 4.999857e-002
 8.400000e-001; 1.988433e-003; 1.989087e-003; 5.013845e-002
 8.600000e-001; 2.136002e-003; 2.136656e-003; 5.027832e-002
 8.800000e-001; 2.307955e-003; 2.308609e-003; 5.041880e-002
 9.000000e-001; 2.504220e-003; 2.504874e-003; 5.055987e-002
 9.200000e-001; 2.700486e-003; 2.701140e-003; 5.070095e-002
 9.400000e-001; 2.915387e-003; 2.916041e-003; 5.086384e-002
 9.600000e-001; 3.130320e-003; 3.130974e-003; 5.102677e-002
 9.800000e-001; 3.345253e-003; 3.345907e-003; 5.118970e-002
 1.000000e+000; 3.560188e-003; 3.560842e-003; 5.135263e-002
 1.020000e+000; 3.778684e-003; 3.779338e-003; 5.150645e-002
 1.040000e+000; 4.010685e-003; 4.011339e-003; 5.167164e-002
 1.060000e+000; 4.256243e-003; 4.256898e-003; 5.184825e-002
 1.080000e+000; 4.501802e-003; 4.502456e-003; 5.202486e-002
 1.100000e+000; 4.747360e-003; 4.748014e-003; 5.220147e-002
 1.120000e+000; 4.992949e-003; 4.993603e-003; 5.237808e-002
 1.140000e+000; 5.279725e-003; 5.280379e-003; 5.256247e-002
 1.160000e+000; 5.543502e-003; 5.544155e-003; 5.274525e-002
 1.180000e+000; 5.807273e-003; 5.807927e-003; 5.292803e-002
 1.200000e+000; 6.071044e-003; 6.071698e-003; 5.311081e-002
 1.220000e+000; 6.334815e-003; 6.335469e-003; 5.329359e-002
 1.240000e+000; 6.630495e-003; 6.631149e-003; 5.349184e-002
 1.260000e+000; 6.942758e-003; 6.943413e-003; 5.370065e-002
 1.280000e+000; 7.239526e-003; 7.240180e-003; 5.390447e-002
 1.300000e+000; 7.536294e-003; 7.536948e-003; 5.410828e-002
 1.320000e+000; 7.833062e-003; 7.833716e-003; 5.431210e-002
 1.340000e+000; 8.144829e-003; 8.145484e-003; 5.452180e-002
 1.360000e+000; 8.482338e-003; 8.482993e-003; 5.473331e-002
 1.380000e+000; 8.830620e-003; 8.831275e-003; 5.494070e-002
 1.400000e+000; 9.178903e-003; 9.179558e-003; 5.514809e-002
 1.420000e+000; 9.527185e-003; 9.527840e-003; 5.535548e-002
 1.440000e+000; 9.851183e-003; 9.851838e-003; 5.555249e-002
 1.460000e+000; 1.015098e-002; 1.015163e-002; 5.573916e-002
 1.480000e+000; 1.050159e-002; 1.050225e-002; 5.595550e-002
 1.500000e+000; 1.085223e-002; 1.085289e-002; 5.617185e-002
 1.520000e+000; 1.120288e-002; 1.120353e-002; 5.638821e-002
 1.540000e+000; 1.155246e-002; 1.155312e-002; 5.658826e-002
 1.560000e+000; 1.190098e-002; 1.190164e-002; 5.677196e-002
 1.580000e+000; 1.224457e-002; 1.224522e-002; 5.695462e-002
 1.600000e+000; 1.258323e-002; 1.258388e-002; 5.713624e-002
 1.620000e+000; 1.292188e-002; 1.292253e-002; 5.731786e-002
 1.640000e+000; 1.326053e-002; 1.326119e-002; 5.749948e-002
 1.660000e+000; 1.350700e-002; 1.350766e-002; 5.770240e-002
 1.680000e+000; 1.379896e-002; 1.379961e-002; 5.790189e-002
 1.700000e+000; 1.413675e-002; 1.413740e-002; 5.809793e-002
 1.720000e+000; 1.447453e-002; 1.447519e-002; 5.829396e-002
 1.740000e+000; 1.481232e-002; 1.481297e-002; 5.848999e-002
 1.760000e+000; 1.521311e-002; 1.521376e-002; 5.867612e-002
 1.780000e+000; 1.567678e-002; 1.567743e-002; 5.885238e-002
 1.800000e+000; 1.598635e-002; 1.598701e-002; 5.903278e-002
 1.820000e+000; 1.629578e-002; 1.629643e-002; 5.921319e-002
 1.840000e+000; 1.660520e-002; 1.660586e-002; 5.939360e-002
 1.860000e+000; 1.691463e-002; 1.691528e-002; 5.957401e-002
 1.880000e+000; 1.725326e-002; 1.725392e-002; 5.976423e-002
 1.900000e+000; 1.758053e-002; 1.758119e-002; 5.995217e-002
 1.920000e+000; 1.786727e-002; 1.786792e-002; 6.012805e-002
 1.940000e+000; 1.817435e-002; 1.817501e-002; 6.030584e-002
 1.960000e+000; 1.850172e-002; 1.850237e-002; 6.048555e-002
 1.980000e+000; 1.882908e-002; 1.882973e-002; 6.066526e-002
 2.000000e+000; 1.915688e-002; 1.915753e-002; 6.085508e-002
 2.020000e+000; 1.950055e-002; 1.950121e-002; 6.101996e-002
 2.040000e+000; 1.984422e-002; 1.984488e-002; 6.118484e-002
 2.060000e+000; 2.018790e-002; 2.018855e-002; 6.134972e-002
 2.080000e+000; 2.053157e-002; 2.053223e-002; 6.151460e-002
 2.100000e+000; 2.087525e-002; 2.087590e-002; 6.167948e-002
 2.120000e+000; 2.119541e-002; 2.119606e-002; 6.187079e-002
 2.140000e+000; 2.151554e-002; 2.151619e-002; 6.206213e-002
 2.160000e+000; 2.183567e-002; 2.183632e-002; 6.225348e-002
 2.180000e+000; 2.215580e-002; 2.215645e-002; 6.244482e-002
 2.200000e+000; 2.247593e-002; 2.247658e-002; 6.263616e-002
 2.220000e+000; 2.280723e-002; 2.280788e-002; 6.281376e-002
 2.240000e+000; 2.314973e-002; 2.315039e-002; 6.297758e-002
 2.260000e+000; 2.349223e-002; 2.349289e-002; 6.314140e-002
 2.280000e+000; 2.383474e-002; 2.383539e-002; 6.330521e-002
 2.300000e+000; 2.417724e-002; 2.417789e-002; 6.346903e-002
 2.320000e+000; 2.451973e-002; 2.452039e-002; 6.363285e-002
 2.340000e+000; 2.480556e-002; 2.480621e-002; 6.382700e-002
 2.360000e+000; 2.514328e-002; 2.514393e-002; 6.401031e-002
 2.380000e+000; 2.548105e-002; 2.548170e-002; 6.419363e-002
 2.400000e+000; 2.581881e-002; 2.581947e-002; 6.437694e-002
 2.420000e+000; 2.615658e-002; 2.615723e-002; 6.456025e-002
 2.440000e+000; 2.656581e-002; 2.656646e-002; 6.472175e-002
 2.460000e+000; 2.697516e-002; 2.697581e-002; 6.488322e-002
 2.480000e+000; 2.729098e-002; 2.729164e-002; 6.504224e-002
 2.500000e+000; 2.760675e-002; 2.760741e-002; 6.520126e-002
 2.520000e+000; 2.792252e-002; 2.792318e-002; 6.536029e-002
 2.540000e+000; 2.825094e-002; 2.825159e-002; 6.552663e-002
 2.560000e+000; 2.859205e-002; 2.859270e-002; 6.570029e-002
 2.580000e+000; 2.893316e-002; 2.893382e-002; 6.587397e-002
 2.600000e+000; 2.926761e-002; 2.926826e-002; 6.604667e-002
 2.620000e+000; 2.959537e-002; 2.959603e-002; 6.621839e-002
 2.640000e+000; 2.992314e-002; 2.992379e-002; 6.639011e-002
 2.660000e+000; 3.025957e-002; 3.026023e-002; 6.652988e-002
 2.680000e+000; 3.059601e-002; 3.059667e-002; 6.666965e-002
 2.700000e+000; 3.093246e-002; 3.093311e-002; 6.680943e-002
 2.720000e+000; 3.126889e-002; 3.126955e-002; 6.694920e-002
 2.740000e+000; 3.160103e-002; 3.160168e-002; 6.710564e-002
 2.760000e+000; 3.193686e-002; 3.193752e-002; 6.727463e-002
 2.780000e+000; 3.228072e-002; 3.228138e-002; 6.743941e-002
 2.800000e+000; 3.262459e-002; 3.262525e-002; 6.760419e-002
 2.820000e+000; 3.296845e-002; 3.296911e-002; 6.776897e-002
 2.840000e+000; 3.331232e-002; 3.331297e-002; 6.793376e-002
 2.860000e+000; 3.364719e-002; 3.364785e-002; 6.809373e-002
 2.880000e+000; 3.399114e-002; 3.399180e-002; 6.825723e-002
 2.900000e+000; 3.433512e-002; 3.433577e-002; 6.842075e-002
 2.920000e+000; 3.467910e-002; 3.467975e-002; 6.858426e-002
 2.940000e+000; 3.502308e-002; 3.502373e-002; 6.874777e-002
 2.960000e+000; 3.536706e-002; 3.536771e-002; 6.891129e-002
 2.980000e+000; 3.561279e-002; 3.561344e-002; 6.909019e-002
 3.000000e+000; 3.589946e-002; 3.590012e-002; 6.925775e-002
 3.020000e+000; 3.622698e-002; 3.622764e-002; 6.941402e-002
 3.040000e+000; 3.655450e-002; 3.655515e-002; 6.957030e-002
 3.060000e+000; 3.688201e-002; 3.688267e-002; 6.972659e-002
 3.080000e+000; 3.722587e-002; 3.722653e-002; 6.988277e-002
 3.100000e+000; 3.758607e-002; 3.758673e-002; 7.003886e-002
 3.120000e+000; 3.794624e-002; 3.794689e-002; 7.019495e-002
 3.140000e+000; 3.826350e-002; 3.826416e-002; 7.034800e-002
 3.160000e+000; 3.857028e-002; 3.857094e-002; 7.050288e-002
 3.180000e+000; 3.888740e-002; 3.888806e-002; 7.066834e-002
 3.200000e+000; 3.921493e-002; 3.921559e-002; 7.084447e-002
 3.220000e+000; 3.954246e-002; 3.954312e-002; 7.102058e-002
 3.240000e+000; 3.986999e-002; 3.987065e-002; 7.119671e-002
 3.260000e+000; 4.025199e-002; 4.025264e-002; 7.135426e-002
 3.280000e+000; 4.068834e-002; 4.068900e-002; 7.149329e-002
 3.300000e+000; 4.100792e-002; 4.100858e-002; 7.165473e-002
 3.320000e+000; 4.132738e-002; 4.132804e-002; 7.181619e-002
 3.340000e+000; 4.164685e-002; 4.164750e-002; 7.197766e-002
 3.360000e+000; 4.196631e-002; 4.196697e-002; 7.213913e-002
 3.380000e+000; 4.228577e-002; 4.228643e-002; 7.230060e-002
 3.400000e+000; 4.260876e-002; 4.260942e-002; 7.246947e-002
 3.420000e+000; 4.292889e-002; 4.292955e-002; 7.262281e-002
 3.440000e+000; 4.324902e-002; 4.324968e-002; 7.277615e-002
 3.460000e+000; 4.356915e-002; 4.356981e-002; 7.292949e-002
 3.480000e+000; 4.388928e-002; 4.388994e-002; 7.308283e-002
 3.500000e+000; 4.420946e-002; 4.421011e-002; 7.323618e-002
 3.520000e+000; 4.457796e-002; 4.457862e-002; 7.340014e-002
 3.540000e+000; 4.490529e-002; 4.490595e-002; 7.355146e-002
 3.560000e+000; 4.523262e-002; 4.523328e-002; 7.370278e-002
 3.580000e+000; 4.555995e-002; 4.556061e-002; 7.385410e-002
 3.600000e+000; 4.588728e-002; 4.588794e-002; 7.400542e-002
 3.620000e+000; 4.625602e-002; 4.625668e-002; 7.417054e-002
 3.640000e+000; 4.662482e-002; 4.662548e-002; 7.433567e-002
 3.660000e+000; 4.692876e-002; 4.692941e-002; 7.449288e-002
 3.680000e+000; 4.723268e-002; 4.723333e-002; 7.465009e-002
 3.700000e+000; 4.753659e-002; 4.753725e-002; 7.480730e-002
 3.720000e+000; 4.787944e-002; 4.788010e-002; 7.495809e-002
 3.740000e+000; 4.826126e-002; 4.826192e-002; 7.510247e-002
