"Reference";""
"Identification";""
"Material";""
"Extensometer to crosshead transition";0.00;"mm"
"Specimen geometry";"flat"
"Cross-sectional area = So"
"Extensometer gauge length = Le"
"Extensometer output in mm"
"Parallel length = Lc"
"Data acquisition rate 50 Hz"
"Data row for start force reduction (Hysteresis) = Hs"
"Data row for end force reduction (Hysteresis) = He"
"Data row for switch to crosshead = Cs"
"File length N data rows"
"File width M data columns"
"So";90;"mm2"
"Le";50;"mm"
"Lc";319.582;"mm"
"N";3050
"M";4
"Hs";0
"He";0
"Cs";0
"time";"crosshead";"extensometer";"force"
"s";"mm";"mm";"kN"
-2.288816e-007;-3.657736e-007; 7.017888e-010; 5.107475e-002
 1.999977e-002;-2.765736e-005;-2.729089e-005; 5.102282e-002
 3.999977e-002;-5.494895e-005;-5.458247e-005; 5.097090e-002
 5.999977e-002;-8.223721e-005;-8.187073e-005; 5.091898e-002
 7.999977e-002;-8.223721e-005;-8.187073e-005; 5.087422e-002
 9.999977e-002;-8.223721e-005;-8.187073e-005; 5.082946e-002
 1.199998e-001;-8.966736e-005;-8.930088e-005; 5.079157e-002
 1.399998e-001;-9.711114e-005;-9.674467e-005; 5.075369e-002
 1.599998e-001;-1.045549e-004;-1.041885e-004; 5.071581e-002
 1.799998e-001;-1.119987e-004;-1.116322e-004; 5.067793e-002
 1.999998e-001;-1.194425e-004;-1.190760e-004; 5.064005e-002
 2.199998e-001;-1.231726e-004;-1.228061e-004; 5.060751e-002
 2.399998e-001;-1.231727e-004;-1.228062e-004; 5.058033e-002
 2.599998e-001;-1.231727e-004;-1.228062e-004; 5.055315e-002
 2.799998e-001;-1.231728e-004;-1.228063e-004; 5.052597e-002
 2.999998e-001;-1.231729e-004;-1.228064e-004; 5.049879e-002
 3.199998e-001;-1.231729e-004;-1.228065e-004; 5.047161e-002
 3.399998e-001;-1.231729e-004;-1.228065e-004; 5.045053e-002
 3.599998e-001;-1.231729e-004;-1.228065e-004; 5.042947e-002
 3.799998e-001;-1.231729e-004;-1.228065e-004; 5.040840e-002
 3.999998e-001;-1.231729e-004;-1.228065e-004; 5.038733e-002
 4.199998e-001;-1.231729e-004;-1.228065e-004; 5.036626e-002
 4.399998e-001;-1.157455e-004;-1.153790e-004; 5.035265e-002
 4.599998e-001;-1.083017e-004;-1.079352e-004; 5.033906e-002
 4.799998e-001;-1.008579e-004;-1.004915e-004; 5.032546e-002
 4.999998e-001;-9.341415e-005;-9.304767e-005; 5.031186e-002
 5.199997e-001;-8.597037e-005;-8.560389e-005; 5.029827e-002
 5.399998e-001;-4.142031e-005;-4.105384e-005; 5.031982e-002
 5.599998e-001; 4.045399e-005; 4.082047e-005; 5.037674e-002
 5.799997e-001; 1.223283e-004; 1.226948e-004; 5.043365e-002
 5.999998e-001; 2.042026e-004; 2.045691e-004; 5.049057e-002
 6.199998e-001; 2.860769e-004; 2.864434e-004; 5.054748e-002
 6.399997e-001; 3.679512e-004; 3.683177e-004; 5.060440e-002
 6.599998e-001; 4.988706e-004; 4.992370e-004; 5.069753e-002
 6.799998e-001; 6.298258e-004; 6.301922e-004; 5.079068e-002
 6.999997e-001; 7.607810e-004; 7.611475e-004; 5.088383e-002
 7.199998e-001; 8.917362e-004; 8.921027e-004; 5.097699e-002
 7.399998e-001; 1.022691e-003; 1.023058e-003; 5.107014e-002
 7.599998e-001; 1.171499e-003; 1.171865e-003; 5.117147e-002
 7.799998e-001; 1.320352e-003; 1.320719e-003; 5.127283e-002
 7.999998e-001; 1.469205e-003; 1.469572e-003; 5.137418e-002
 8.199998e-001; 1.618059e-003; 1.618425e-003; 5.147554e-002
 8.399998e-001; 1.766912e-003; 1.767279e-003; 5.157689e-002
 8.599998e-001; 1.929982e-003; 1.930348e-003; 5.168370e-002
 8.799998e-001; 2.107373e-003; 2.107739e-003; 5.179601e-002
 8.999998e-001; 2.284763e-003; 2.285130e-003; 5.190832e-002
 9.199998e-001; 2.471678e-003; 2.472045e-003; 5.203291e-002
 9.399998e-001; 2.668183e-003; 2.668550e-003; 5.216986e-002
 9.599998e-001; 2.864688e-003; 2.865054e-003; 5.230680e-002
 9.799998e-001; 3.077630e-003; 3.077996e-003; 5.244990e-002
 9.999998e-001; 3.290589e-003; 3.290956e-003; 5.259300e-002
 1.020000e+000; 3.503549e-003; 3.503916e-003; 5.273610e-002
 1.040000e+000; 3.716509e-003; 3.716876e-003; 5.287920e-002
 1.060000e+000; 3.929473e-003; 3.929839e-003; 5.302230e-002
 1.080000e+000; 4.186500e-003; 4.186867e-003; 5.317474e-002
 1.100000e+000; 4.456673e-003; 4.457039e-003; 5.332547e-002
 1.120000e+000; 4.726845e-003; 4.727212e-003; 5.347619e-002
 1.140000e+000; 4.997017e-003; 4.997384e-003; 5.362692e-002
 1.160000e+000; 5.267190e-003; 5.267556e-003; 5.377765e-002
 1.180000e+000; 5.566008e-003; 5.566374e-003; 5.393446e-002
 1.200000e+000; 5.729642e-003; 5.730008e-003; 5.410958e-002
 1.220000e+000; 6.046935e-003; 6.047301e-003; 5.429642e-002
 1.240000e+000; 6.364321e-003; 6.364687e-003; 5.448327e-002
 1.260000e+000; 6.681708e-003; 6.682074e-003; 5.467012e-002
 1.280000e+000; 6.999094e-003; 6.999461e-003; 5.485697e-002
 1.300000e+000; 7.272199e-003; 7.272565e-003; 5.504239e-002
 1.320000e+000; 7.562231e-003; 7.562598e-003; 5.522322e-002
 1.340000e+000; 7.869249e-003; 7.869615e-003; 5.539945e-002
