"Reference";""
"Identification";""
"Material";""
"Extensometer to crosshead transition";0.00;"mm"
"Specimen geometry";"flat"
"Cross-sectional area = So"
"Extensometer gauge length = Le"
"Extensometer output in mm"
"Parallel length = Lc"
"Data acquisition rate 50 Hz"
"Data row for start force reduction (Hysteresis) = Hs"
"Data row for end force reduction (Hysteresis) = He"
"Data row for switch to crosshead = Cs"
"File length N data rows"
"File width M data columns"
"So";90;"mm2"
"Le";50;"mm"
"Lc";319.582;"mm"
"N";3050
"M";4
"Hs";0
"He";0
"Cs";0
"time";"crosshead";"extensometer";"force"
"s";"mm";"mm";"kN"
-2.288834e-007;-3.416226e-007;-5.256879e-010; 4.987426e-002
 1.999977e-002;-3.416226e-007;-5.256879e-010; 4.981524e-002
 3.999977e-002;-7.778202e-006;-7.437105e-006; 4.977274e-002
 5.999977e-002;-1.522205e-005;-1.488095e-005; 4.973025e-002
 7.999977e-002;-2.266590e-005;-2.232480e-005; 4.968776e-002
 9.999977e-002;-3.010975e-005;-2.976865e-005; 4.964528e-002
 1.199998e-001;-3.755360e-005;-3.721250e-005; 4.960279e-002
 1.399998e-001;-4.536741e-005;-4.502632e-005; 4.956480e-002
 1.599998e-001;-5.355156e-005;-5.321046e-005; 4.953130e-002
 1.799998e-001;-6.173571e-005;-6.139461e-005; 4.949781e-002
 1.999998e-001;-6.991986e-005;-6.957876e-005; 4.946431e-002
 2.199998e-001;-7.810400e-005;-7.776290e-005; 4.943082e-002
 2.399998e-001;-8.898006e-005;-8.863896e-005; 4.940047e-002
 2.599998e-001;-1.025705e-004;-1.022294e-004; 4.937331e-002
 2.799998e-001;-1.161609e-004;-1.158198e-004; 4.934615e-002
 2.999998e-001;-1.311729e-004;-1.308318e-004; 4.931894e-002
 3.199998e-001;-1.476177e-004;-1.472766e-004; 4.929169e-002
 3.399998e-001;-1.640624e-004;-1.637213e-004; 4.926444e-002
 3.599998e-001;-1.566506e-004;-1.563095e-004; 4.924747e-002
 3.799998e-001;-1.492068e-004;-1.488657e-004; 4.923053e-002
 3.999998e-001;-1.417629e-004;-1.414218e-004; 4.921358e-002
 4.199998e-001;-1.343191e-004;-1.339780e-004; 4.919663e-002
 4.399998e-001;-1.268752e-004;-1.265341e-004; 4.917968e-002
 4.599998e-001;-1.068005e-004;-1.064594e-004; 4.917194e-002
 4.799998e-001;-7.406394e-005;-7.372284e-005; 4.917342e-002
 4.999998e-001;-4.132741e-005;-4.098631e-005; 4.917489e-002
 5.199997e-001;-8.590875e-006;-8.249778e-006; 4.917637e-002
 5.399998e-001; 2.414566e-005; 2.448675e-005; 4.917785e-002
 5.599998e-001; 1.072314e-004; 1.075725e-004; 4.921681e-002
 5.799997e-001; 2.411603e-004; 2.415014e-004; 4.929361e-002
 5.999998e-001; 3.750892e-004; 3.754303e-004; 4.937041e-002
 6.199998e-001; 5.090181e-004; 5.093592e-004; 4.944722e-002
 6.399997e-001; 6.429470e-004; 6.432881e-004; 4.952402e-002
 6.599998e-001; 7.768759e-004; 7.772170e-004; 4.960083e-002
 6.799998e-001; 8.960565e-004; 8.963976e-004; 4.968751e-002
 6.999997e-001; 1.015212e-003; 1.015553e-003; 4.977422e-002
 7.199998e-001; 1.134367e-003; 1.134708e-003; 4.986092e-002
 7.399998e-001; 1.253523e-003; 1.253864e-003; 4.994762e-002
 7.599998e-001; 1.372678e-003; 1.373019e-003; 5.003432e-002
