"Reference";""
"Identification";""
"Material";""
"Extensometer to crosshead transition";0.00;"mm"
"Specimen geometry";"flat"
"Cross-sectional area = So"
"Extensometer gauge length = Le"
"Extensometer output in mm"
"Parallel length = Lc"
"Data acquisition rate 50 Hz"
"Data row for start force reduction (Hysteresis) = Hs"
"Data row for end force reduction (Hysteresis) = He"
"Data row for switch to crosshead = Cs"
"File length N data rows"
"File width M data columns"
"So";90;"mm2"
"Le";50;"mm"
"Lc";319.582;"mm"
"N";3050
"M";4
"Hs";0
"He";0
"Cs";0
"time";"crosshead";"extensometer";"force"
"s";"mm";"mm";"kN"
-2.288834e-007;-2.190588e-007;-1.595026e-009; 5.071132e-002
 1.999977e-002;-8.403205e-006;-8.185742e-006; 5.066624e-002
 3.999977e-002;-1.658735e-005;-1.636989e-005; 5.062117e-002
 5.999977e-002;-2.477150e-005;-2.455404e-005; 5.057609e-002
 7.999977e-002;-3.295565e-005;-3.273818e-005; 5.053101e-002
 9.999977e-002;-4.113979e-005;-4.092233e-005; 5.048594e-002
 1.199998e-001;-4.858500e-005;-4.836753e-005; 5.044970e-002
 1.399998e-001;-5.602885e-005;-5.581138e-005; 5.041347e-002
 1.599998e-001;-6.347270e-005;-6.325523e-005; 5.037724e-002
 1.799998e-001;-7.091655e-005;-7.069908e-005; 5.034101e-002
 1.999998e-001;-7.836039e-005;-7.814293e-005; 5.030479e-002
 2.199998e-001;-8.580424e-005;-8.558678e-005; 5.027204e-002
 2.399998e-001;-9.324809e-005;-9.303063e-005; 5.024278e-002
 2.599998e-001;-1.006919e-004;-1.004745e-004; 5.021353e-002
 2.799998e-001;-1.081358e-004;-1.079183e-004; 5.018427e-002
 2.999998e-001;-1.155796e-004;-1.153622e-004; 5.015501e-002
 3.199998e-001;-1.230235e-004;-1.228060e-004; 5.012576e-002
 3.399998e-001;-1.230262e-004;-1.228087e-004; 5.010313e-002
 3.599998e-001;-1.230262e-004;-1.228087e-004; 5.008051e-002
 3.799998e-001;-1.230262e-004;-1.228087e-004; 5.005788e-002
 3.999998e-001;-1.230262e-004;-1.228087e-004; 5.003526e-002
 4.199998e-001;-1.230262e-004;-1.228087e-004; 5.001264e-002
 4.399998e-001;-1.189311e-004;-1.187137e-004; 4.999754e-002
 4.599998e-001;-1.107470e-004;-1.105295e-004; 4.998783e-002
 4.799998e-001;-1.025628e-004;-1.023454e-004; 4.997812e-002
 4.999998e-001;-9.437870e-005;-9.416124e-005; 4.996841e-002
 5.199997e-001;-8.619455e-005;-8.597709e-005; 4.995869e-002
 5.399998e-001;-2.603525e-005;-2.581778e-005; 4.998588e-002
 5.599998e-001; 8.640456e-005; 8.662202e-005; 5.005017e-002
 5.799997e-001; 1.988444e-004; 1.990618e-004; 5.011446e-002
 5.999998e-001; 3.112842e-004; 3.115016e-004; 5.017875e-002
 6.199998e-001; 4.631538e-004; 4.633712e-004; 5.026572e-002
 6.399997e-001; 6.543377e-004; 6.545552e-004; 5.037532e-002
 6.599998e-001; 7.734698e-004; 7.736873e-004; 5.045467e-002
 6.799998e-001; 8.925492e-004; 8.927666e-004; 5.053401e-002
 6.999997e-001; 1.011629e-003; 1.011846e-003; 5.061334e-002
 7.199998e-001; 1.130708e-003; 1.130925e-003; 5.069268e-002
 7.399998e-001; 1.249787e-003; 1.250005e-003; 5.077201e-002
 7.599998e-001; 1.370759e-003; 1.370976e-003; 5.086168e-002
 7.799998e-001; 1.493623e-003; 1.493840e-003; 5.096168e-002
 7.999998e-001; 1.650373e-003; 1.650590e-003; 5.106683e-002
 8.199998e-001; 1.841274e-003; 1.841492e-003; 5.117719e-002
 8.399998e-001; 2.032176e-003; 2.032393e-003; 5.128754e-002
 8.599998e-001; 2.217003e-003; 2.217220e-003; 5.140003e-002
 8.799998e-001; 2.395710e-003; 2.395928e-003; 5.151466e-002
 8.999998e-001; 2.574418e-003; 2.574636e-003; 5.162929e-002
 9.199998e-001; 2.753126e-003; 2.753343e-003; 5.174392e-002
 9.399998e-001; 2.931834e-003; 2.932051e-003; 5.185854e-002
 9.599998e-001; 3.110541e-003; 3.110759e-003; 5.197317e-002
 9.799998e-001; 3.315156e-003; 3.315373e-003; 5.209900e-002
 9.999998e-001; 3.560739e-003; 3.560957e-003; 5.222188e-002
 1.020000e+000; 3.806322e-003; 3.806540e-003; 5.234476e-002
 1.040000e+000; 4.051906e-003; 4.052124e-003; 5.246764e-002
 1.060000e+000; 4.297489e-003; 4.297707e-003; 5.259052e-002
