Node Number	X Location (m)	Y Location (m)	Z Location (m)	
142	-1.9862e-003	1.7504e-003	0.	
143	-1.8619e-003	1.7916e-003	0.	
144	-1.7755e-003	1.89e-003	0.	
145	-7.5e-004	2.e-003	0.	
146	-7.8457e-004	2.1268e-003	0.	
147	-8.78e-004	2.2182e-003	0.	
148	-1.0044e-003	2.25e-003	0.	
149	-1.1297e-003	2.2137e-003	0.	
150	-1.2196e-003	2.1194e-003	0.	
151	-1.2499e-003	1.9925e-003	0.	
152	-1.2119e-003	1.8674e-003	0.	
153	-1.1156e-003	1.7784e-003	0.	
154	-9.8762e-004	1.7503e-003	0.	
155	-8.6285e-004	1.791e-003	0.	
156	-7.7588e-004	1.8892e-003	0.	
157	2.5e-004	2.e-003	0.	
158	2.1551e-004	2.1267e-003	0.	
159	1.2221e-004	2.2181e-003	0.	
160	-4.4185e-006	2.25e-003	0.	
161	-1.2988e-004	2.2136e-003	0.	
162	-2.1989e-004	2.119e-003	0.	
163	-2.4984e-004	1.991e-003	0.	
164	-2.1078e-004	1.8656e-003	0.	
165	-1.1418e-004	1.7776e-003	0.	
166	1.3567e-005	1.7504e-003	0.	
167	1.3783e-004	1.7914e-003	0.	
168	2.2419e-004	1.8894e-003	0.	
169	1.25e-003	2.e-003	0.	
170	1.2158e-003	2.1262e-003	0.	
171	1.1221e-003	2.2181e-003	0.	
172	9.953e-004	2.25e-003	0.	
173	8.6993e-004	2.2135e-003	0.	
174	7.8002e-004	2.1188e-003	0.	
175	7.5016e-004	1.9911e-003	0.	
176	7.8924e-004	1.8655e-003	0.	
177	8.8605e-004	1.7775e-003	0.	
178	1.014e-003	1.7504e-003	0.	
179	1.1382e-003	1.7917e-003	0.	
180	1.2244e-003	1.8899e-003	0.	
181	2.25e-003	2.e-003	0.	
182	2.2157e-003	2.1263e-003	0.	
183	2.1217e-003	2.2184e-003	0.	
184	1.9947e-003	2.2499e-003	0.	
185	1.8695e-003	2.2132e-003	0.	
186	1.7795e-003	2.1178e-003	0.	
187	1.7502e-003	1.9905e-003	0.	
188	1.7892e-003	1.8655e-003	0.	
189	1.8862e-003	1.7774e-003	0.	
190	2.0141e-003	1.7504e-003	0.	
191	2.1384e-003	1.7918e-003	0.	
192	2.2246e-003	1.8903e-003	0.	
193	-7.5e-004	-1.e-003	0.	
194	-7.8456e-004	-8.7318e-004	0.	
195	-8.7793e-004	-7.8183e-004	0.	
196	-1.0052e-003	-7.5005e-004	0.	
197	-1.131e-003	-7.8708e-004	0.	
198	-1.2205e-003	-8.8215e-004	0.	
199	-1.2498e-003	-1.0094e-003	0.	
200	-1.2109e-003	-1.1343e-003	0.	
201	-1.114e-003	-1.2225e-003	0.	
202	-9.8605e-004	-1.2496e-003	0.	
203	-8.6198e-004	-1.2084e-003	0.	
204	-7.7564e-004	-1.1103e-003	0.	
205	2.5e-004	-1.e-003	0.	
206	2.1543e-004	-8.7315e-004	0.	
207	1.2233e-004	-7.8198e-004	0.	
208	-4.7674e-006	-7.5005e-004	0.	
209	-1.3062e-004	-7.8684e-004	0.	
210	-2.2018e-004	-8.8159e-004	0.	
211	-2.4981e-004	-1.0097e-003	0.	
212	-2.1046e-004	-1.1349e-003	0.	
213	-1.1385e-004	-1.2226e-003	0.	
214	1.3986e-005	-1.2496e-003	0.	
215	1.3794e-004	-1.2085e-003	0.	
216	2.2424e-004	-1.1105e-003	0.	
217	1.25e-003	-1.e-003	0.	
218	1.2158e-003	-8.7373e-004	0.	
219	1.1228e-003	-7.8224e-004	0.	
220	9.9586e-004	-7.5003e-004	0.	
221	8.6961e-004	-7.8669e-004	0.	
222	7.7982e-004	-8.816e-004	0.	
223	7.5018e-004	-1.0094e-003	0.	
224	7.8931e-004	-1.1346e-003	0.	
225	8.8587e-004	-1.2224e-003	0.	
226	1.0139e-003	-1.2496e-003	0.	
227	1.138e-003	-1.2085e-003	0.	
228	1.2245e-003	-1.1101e-003	0.	
229	2.25e-003	-1.e-003	0.	
230	2.2159e-003	-8.7398e-004	0.	
231	2.1229e-003	-7.8231e-004	0.	
232	1.9958e-003	-7.5004e-004	0.	
233	1.8695e-003	-7.8675e-004	0.	
234	1.7797e-003	-8.8188e-004	0.	
235	1.7502e-003	-1.0093e-003	0.	
236	1.7891e-003	-1.1343e-003	0.	
237	1.8857e-003	-1.2223e-003	0.	
238	2.0137e-003	-1.2496e-003	0.	
239	2.1378e-003	-1.2086e-003	0.	
240	2.2245e-003	-1.11e-003	0.	
241	-1.75e-003	-2.e-003	0.	
242	-1.7842e-003	-1.8737e-003	0.	
243	-1.8777e-003	-1.7819e-003	0.	
244	-2.0046e-003	-1.75e-003	0.	
245	-2.1303e-003	-1.7866e-003	0.	
246	-2.2203e-003	-1.8818e-003	0.	
