Element Number	Element Type	Nodes	
1	Tri6	56	70	2	231	74	73	
2	Tri6	56	6	70	86	89	231	
3	Tri6	57	6	56	87	86	230	
4	Tri6	57	18	6	147	85	87	
5	Tri6	58	18	57	148	147	232	
6	Tri6	58	30	18	185	146	148	
7	Tri6	3	30	58	75	185	77	
8	Tri6	3	50	30	76	184	75	
9	Tri6	6	69	70	88	243	89	
10	Tri6	6	7	69	84	94	88	
11	Tri6	18	7	6	91	84	85	
12	Tri6	18	19	7	145	92	91	
13	Tri6	30	19	18	150	145	146	
14	Tri6	30	31	19	183	151	150	
15	Tri6	50	31	30	187	183	184	
16	Tri6	50	51	31	225	188	187	
17	Tri6	7	68	69	93	242	94	
18	Tri6	7	8	68	90	99	93	
19	Tri6	19	8	7	96	90	92	
20	Tri6	19	20	8	149	97	96	
21	Tri6	31	20	19	153	149	151	
22	Tri6	31	32	20	186	154	153	
23	Tri6	51	32	31	190	186	188	
24	Tri6	51	52	32	226	191	190	
25	Tri6	8	67	68	98	241	99	
26	Tri6	8	9	67	95	104	98	
27	Tri6	20	9	8	101	95	97	
28	Tri6	20	21	9	152	102	101	
29	Tri6	32	21	20	156	152	154	
30	Tri6	32	33	21	189	157	156	
31	Tri6	52	33	32	193	189	191	
32	Tri6	52	53	33	227	194	193	
33	Tri6	9	66	67	103	240	104	
34	Tri6	9	10	66	100	109	103	
35	Tri6	21	10	9	106	100	102	
36	Tri6	21	22	10	155	107	106	
37	Tri6	33	22	21	159	155	157	
38	Tri6	33	34	22	192	160	159	
39	Tri6	53	34	33	196	192	194	
40	Tri6	53	54	34	228	197	196	
41	Tri6	10	65	66	108	239	109	
42	Tri6	10	11	65	105	114	108	
43	Tri6	22	11	10	111	105	107	
44	Tri6	22	23	11	158	112	111	
45	Tri6	34	23	22	162	158	160	
46	Tri6	34	35	23	195	163	162	
47	Tri6	54	35	34	199	195	197	
48	Tri6	54	55	35	229	200	199	
49	Tri6	11	64	65	113	238	114	
50	Tri6	11	12	64	110	119	113	
51	Tri6	23	12	11	116	110	112	
52	Tri6	23	24	12	161	117	116	
53	Tri6	35	24	23	165	161	163	
54	Tri6	35	36	24	198	166	165	
55	Tri6	55	36	35	203	198	200	
56	Tri6	55	4	36	80	78	203	
57	Tri6	64	13	63	124	123	237	
58	Tri6	64	12	13	119	115	124	
59	Tri6	12	25	13	118	121	115	
60	Tri6	12	24	25	117	164	118	
61	Tri6	24	37	25	167	169	164	
62	Tri6	24	36	37	166	201	167	
63	Tri6	36	45	37	202	205	201	
64	Tri6	36	4	45	78	79	202	
65	Tri6	63	14	62	129	128	236	
66	Tri6	63	13	14	123	120	129	
67	Tri6	13	26	14	122	126	120	
68	Tri6	13	25	26	121	168	122	
69	Tri6	25	38	26	170	172	168	
70	Tri6	25	37	38	169	204	170	
71	Tri6	37	46	38	206	208	204	
72	Tri6	37	45	46	205	221	206	
73	Tri6	62	15	61	134	133	235	
74	Tri6	62	14	15	128	125	134	
75	Tri6	14	27	15	127	131	125	
76	Tri6	14	26	27	126	171	127	
77	Tri6	26	39	27	173	175	171	
78	Tri6	26	38	39	172	207	173	
79	Tri6	38	47	39	209	211	207	
80	Tri6	38	46	47	208	222	209	
81	Tri6	61	16	60	139	138	234	
82	Tri6	61	15	16	133	130	139	
83	Tri6	15	28	16	132	136	130	
84	Tri6	15	27	28	131	174	132	
85	Tri6	27	40	28	176	178	174	
86	Tri6	27	39	40	175	210	176	
87	Tri6	39	48	40	212	214	210	
88	Tri6	39	47	48	211	223	212	
89	Tri6	60	17	59	144	143	233	
90	Tri6	60	16	17	138	135	144	
91	Tri6	16	29	17	137	140	135	
92	Tri6	16	28	29	136	177	137	
93	Tri6	28	41	29	179	180	177	
94	Tri6	28	40	41	178	213	179	
95	Tri6	40	49	41	215	217	213	
96	Tri6	40	48	49	214	224	215	
97	Tri6	59	44	1	220	71	72	
98	Tri6	59	17	44	143	142	220	
99	Tri6	17	43	44	141	219	142	
100	Tri6	17	29	43	140	182	141	
101	Tri6	29	42	43	181	218	182	
102	Tri6	29	41	42	180	216	181	
103	Tri6	41	5	42	81	82	216	
104	Tri6	41	49	5	217	83	81	
