Node Number	X Location (m)	Y Location (m)	Z Location (m)	
151	4.2177e-003	1.1603e-003	0.	
152	3.8662e-003	1.8625e-003	0.	
153	4.1976e-003	1.4484e-003	0.	
154	4.1775e-003	1.7366e-003	0.	
155	3.7823e-003	2.3801e-003	0.	
156	4.1497e-003	2.0219e-003	0.	
157	4.1218e-003	2.3071e-003	0.	
158	3.6797e-003	2.8863e-003	0.	
159	4.0867e-003	2.5886e-003	0.	
160	4.0516e-003	2.8701e-003	0.	
161	3.5598e-003	3.3791e-003	0.	
162	4.0098e-003	3.1469e-003	0.	
163	3.9679e-003	3.4237e-003	0.	
164	3.216e-003	3.6778e-003	0.	
165	3.9198e-003	3.695e-003	0.	
166	3.8718e-003	3.9664e-003	0.	
167	3.5579e-003	4.0084e-003	0.	
168	2.6505e-003	3.7808e-003	0.	
169	3.244e-003	4.0504e-003	0.	
170	2.9253e-003	4.0856e-003	0.	
171	2.0735e-003	3.865e-003	0.	
172	2.6067e-003	4.1208e-003	0.	
173	2.2843e-003	4.1488e-003	0.	
174	1.4876e-003	3.9293e-003	0.	
175	1.9619e-003	4.1767e-003	0.	
176	1.6366e-003	4.197e-003	0.	
177	8.9523e-004	3.9727e-003	0.	
178	1.3112e-003	4.2172e-003	0.	
179	9.8392e-004	4.2295e-003	0.	
180	6.5661e-004	4.2418e-003	0.	
181	3.283e-004	4.2459e-003	0.	
182	2.9885e-004	3.9945e-003	0.	
183	4.4866e-003	9.3746e-004	0.	
184	4.7474e-003	6.6975e-004	0.	
185	4.4974e-003	3.1261e-004	0.	
186	4.4651e-003	1.5609e-003	0.	
187	4.7433e-003	1.0044e-003	0.	
188	4.7392e-003	1.3391e-003	0.	
189	4.4331e-003	2.1812e-003	0.	
190	4.7325e-003	1.6733e-003	0.	
191	4.7258e-003	2.0074e-003	0.	
192	4.3912e-003	2.7972e-003	0.	
193	4.7166e-003	2.3406e-003	0.	
194	4.7073e-003	2.6738e-003	0.	
195	4.3398e-003	3.4074e-003	0.	
196	4.6956e-003	3.0057e-003	0.	
197	4.6839e-003	3.3376e-003	0.	
198	4.2799e-003	4.011e-003	0.	
199	4.6699e-003	3.668e-003	0.	
200	4.656e-003	3.9984e-003	0.	
201	3.8997e-003	4.3389e-003	0.	
202	4.2415e-003	4.6695e-003	0.	
203	4.6399e-003	4.3269e-003	0.	
204	3.2002e-003	4.3904e-003	0.	
205	3.8591e-003	4.6835e-003	0.	
206	3.4751e-003	4.6952e-003	0.	
207	2.4951e-003	4.4325e-003	0.	
208	3.0911e-003	4.7069e-003	0.	
209	2.7059e-003	4.7163e-003	0.	
210	1.7855e-003	4.4647e-003	0.	
211	2.3206e-003	4.7256e-003	0.	
212	1.9344e-003	4.7323e-003	0.	
213	1.0726e-003	4.4863e-003	0.	
214	1.5482e-003	4.7391e-003	0.	
215	1.1613e-003	4.7432e-003	0.	
216	3.5776e-004	4.4973e-003	0.	
217	7.7443e-004	4.7473e-003	0.	
218	0.	4.25e-003	0.	
219	0.	3.75e-003	0.	
220	2.1065e-004	3.2432e-003	0.	
221	3.75e-003	5.e-003	0.	
222	2.9167e-003	5.e-003	0.	
223	2.0833e-003	5.e-003	0.	
224	1.25e-003	5.e-003	0.	
225	5.e-003	1.0714e-003	0.	
226	5.e-003	1.7857e-003	0.	
227	5.e-003	2.5e-003	0.	
228	5.e-003	3.2143e-003	0.	
229	5.e-003	3.9286e-003	0.	
230	3.75e-003	0.	0.	
231	3.2428e-003	2.0143e-004	0.	
232	4.25e-003	0.	0.	
233	5.4142e-004	2.9507e-003	0.	
234	8.936e-004	2.8639e-003	0.	
235	1.2326e-003	2.7351e-003	0.	
236	1.5537e-003	2.5663e-003	0.	
237	1.8522e-003	2.36e-003	0.	
238	2.1234e-003	2.1192e-003	0.	
239	2.3637e-003	1.8475e-003	0.	
240	2.5693e-003	1.5486e-003	0.	
241	2.7375e-003	1.2272e-003	0.	
242	2.8656e-003	8.8794e-004	0.	
243	2.9518e-003	5.3652e-004	0.	
